date,description,amount,category
2024-01-05,Grocery run,87.50,food
2024-01-08,Monthly rent,1200.00,housing
2024-01-10,Uber to airport,34.20,transport
2024-01-14,Dentist appointment,250.00,health
2024-01-18,Netflix,15.99,entertainment
2024-01-22,Thai takeout,42.00,food
2024-01-28,Gym membership,45.00,health
2024-02-01,Grocery run,91.30,food
2024-02-04,Monthly rent,1200.00,housing
2024-02-07,Train pass,89.00,transport
2024-02-11,Concert tickets,180.00,entertainment
2024-02-15,Pharmacy,28.50,health
2024-02-19,Work lunch,18.75,food
2024-02-23,Car repair,620.00,transport
2024-03-02,Grocery run,103.40,food
2024-03-05,Monthly rent,1200.00,housing
2024-03-09,Flight home,540.00,transport
2024-03-13,Doctor visit,90.00,health
2024-03-17,Dinner out,67.80,food
2024-03-21,Books,35.00,other
2024-03-25,Streaming services,32.97,entertainment
